Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
249.172746,9.344756728,280.1114345,116.4273729,19.03846154,15.19430619
250.191486,9.395939805,280,117.44,20.76923077,90
251.191486,9.442162027,280,118.44,22.5,90
252.191486,9.484960381,280,119.44,24.23076923,90
253.191486,9.524807124,280,120.44,25.96153846,90
254.191486,9.56208311,280,121.44,27.69230769,90
255.191486,9.597099945,280,122.44,29.42307692,90
256.191486,9.630115818,280,123.44,31.15384615,90
257.191486,9.661347049,280,124.44,32.88461538,90
258.191486,9.690976679,280,125.44,34.61538462,90
258.991486,9.713634631,280,126.24,36,90
259.5909108,9.731289582,279.9772905,126.8389944,31.90443686,90
260.1903356,9.751366338,279.9092923,127.4345499,27.80887372,90
260.7897604,9.774634947,279.7963958,128.0232471,23.71331058,90
261.3891851,9.802302158,279.6392493,128.6017063,19.61774744,90
261.9886099,9.836418603,279.4387548,129.1666064,15.5221843,90
262.5880347,9.880904788,279.1960636,129.714704,11.42662116,90
263.1874595,9.944817255,278.9125689,130.2428525,7.33105802,90
263.7868842,10.05827427,278.5898984,130.7480196,3.235494881,90
264.386309,10.42880477,278.2299046,131.227305,0,90
264.9857338,11.14739519,277.8346543,131.6779571,1.668334999,90
265.5851585,11.38692533,277.4064168,132.0973884,3.336669998,90
266.1845833,11.53064342,276.9476507,132.4831911,5.005004997,90
266.7840081,11.63329919,276.4609898,132.83315,6.673339996,90
267.3834329,11.71314257,275.9492282,133.1452559,8.341674995,90
268.9639893,11.88539449,274.7647648,132.0987354,10.01000999,-150.7550657
269.9639893,11.97760987,273.8922256,131.6101913,11.67834499,-150.7550657
270.9639893,12.05752987,273.0196864,131.1216472,13.34667999,-150.7550657
271.9639893,12.12804752,272.1471472,130.6331031,15.01501499,-150.7550657
272.9639893,12.19114226,271.274608,130.144559,16.68334999,-150.7550657
273.9639893,12.24822797,270.4020688,129.6560149,18.35168499,-150.7550657
274.9639893,12.30034971,269.5295295,129.1674708,20.02001999,-150.7550657
275.9639893,12.34830171,268.6569903,128.6789267,21.68835499,-150.7550657
276.9639893,12.39270171,267.7844511,128.1903826,23.35668999,-150.7550657
277.9639893,12.43403964,266.9119119,127.7018385,25.02502499,-150.7550657
278.9639893,12.47271061,266.0393727,127.2132944,26.69335999,-150.7550657
279.9639893,12.50903788,265.1668335,126.7247503,28.36169498,-150.7550657
280.9639893,12.54328931,264.2942943,126.2362062,30.03002998,-150.7550657
281.9639893,12.57568931,263.4217551,125.7476621,31.69836498,-150.7550657
282.9639893,12.60642777,262.5492159,125.259118,33.36669998,-150.7550657
283.9639893,12.6356668,261.6766767,124.7705739,35.03503498,-150.7550657
284.9639893,12.66354587,260.8041375,124.2820298,36.70336998,-150.7550657
285.9639893,12.69018587,259.9315983,123.7934857,38.37170498,-150.7550657
286.9639893,12.71569225,259.0590591,123.3049416,40.04003998,-150.7550657
287.9639893,12.74015756,258.1865199,122.8163975,41.70837498,-150.7550657
288.9639893,12.76366344,257.3139807,122.3278534,43.37670998,-150.7550657
289.9639893,12.78628231,256.4414415,121.8393093,45.04504498,-150.7550657
290.9639893,12.80807867,255.5689023,121.3507652,46.71337997,-150.7550657
291.9639893,12.82911025,254.6963631,120.8622211,48.38171497,-150.7550657
292.9639893,12.8494289,253.8238239,120.373677,50.05004997,-150.7550657
293.9639893,12.86908135,252.9512847,119.8851329,51.71838497,-150.7550657
294.9639893,12.88810993,252.0787455,119.3965888,53.38671997,-150.7550657
295.9639893,12.906553,251.2062063,118.9080447,55.05505497,-150.7550657
296.9639893,12.92444554,250.333667,118.4195006,56.72338997,-149.8824243
297.9498985,12.94157464,249.4808581,117.924795,58.39172497,-148.1371415
298.9358076,12.95822967,248.6435116,117.4043455,60,90
299.9217167,12.974451,247.8224045,116.8586351,61.55718753,-140.667107
300.9232272,12.99051738,247.0477597,116.2238526,63.11437506,-141.8243993
301.9232272,13.00616855,246.2616395,115.605779,64.67156258,-141.8243993
302.9232272,13.02144735,245.4755193,114.9877053,66.22875011,-141.8243993
303.9232272,13.03637109,244.6893991,114.3696316,67.78593764,-141.8243993
304.9232272,13.05095589,243.903279,113.7515579,69.34312517,-141.8243993
305.9232272,13.06521681,243.1171588,113.1334842,70.9003127,-141.8243993
306.9232272,13.07916792,242.3310386,112.5154105,72.45750022,-141.8243993
307.9232272,13.09282238,241.5449185,111.8973369,74.01468775,-141.8243993
308.9232272,13.10619257,240.7587983,111.2792632,75.57187528,-141.8243993
309.9232272,13.11929007,239.9726781,110.6611895,77.12906281,-141.8243993
310.9232272,13.13212577,239.186558,110.0431158,78.68625034,-141.8243993
311.9232272,13.14470996,238.4004378,109.4250421,80.24343787,-141.8243993
312.9232272,13.15705228,237.6143176,108.8069684,81.80062539,-141.8243993
313.9232272,13.16916186,236.8281974,108.1888948,83.35781292,-141.8243993
314.9232272,13.18104732,236.0420773,107.5708211,84.91500045,-141.8243993
315.9232272,13.19271681,235.2559571,106.9527474,86.47218798,-141.8243993
316.9232272,13.20417802,234.4698369,106.3346737,88.02937551,-141.8243993
317.9232272,13.21543827,233.6837168,105.7166,89.58656303,-141.8243993
318.9232272,13.22650449,232.8975966,105.0985263,91.14375056,-141.8243993
319.9232272,13.23738323,232.1114764,104.4804527,92.70093809,-141.8243993
320.9232272,13.24808076,231.3253563,103.862379,94.25812562,-141.8243993
321.9232272,13.25860301,230.5392361,103.2443053,95.81531315,-141.8243993
322.9232272,13.26895563,229.7531159,102.6262316,97.37250067,-141.8243993
323.9232272,13.279144,228.9669957,102.0081579,98.9296882,-141.8243993
324.9232272,13.28917326,228.1808756,101.3900842,100.4868757,-141.8243993
